work_id,work_name,work_type,district,sanctioned_amount,expenditure,physical_progress_pct,financial_progress_pct,utilisation_pct,cost_overrun_pct,progress_gap,delay_days,payment_irregularity,cost_per_progress,anomaly_score,anomaly_flag,duplicate_risk_score,delay_risk,utilisation_irregularity,fund_diversion_score,risk_score,risk_band,risk_reasons
WRK00371,Water Supply at District_8 Sector 39,Water Supply,District_8,518604.01,758986.7423118748,73.0,100.0,146.35188461266907,46.35188461266907,27.0,940,3.040000000000001,10397.078661806503,72.1,1,69.3,100.0,100.0,19.289,70.1,High,Anomaly pattern detected by ML model (score 72/100 on cost/progress/payment behaviour) | Delayed by 940 days beyond planned completion | Utilisation irregularity: 146% of funds used vs 73% physical work done | Cost overrun of 46% vs sanctioned amount
WRK00096_DUP,School Building at District_8 Sector 10 Phase,School Building,District_8,2451717.7256686366,3466947.203526057,79.0,100.0,141.40890556968768,41.40890556968768,21.0,667,0.0,43885.40763957034,63.4,1,96.9,100.0,100.0,15.061589653296288,69.4,High,Anomaly pattern detected by ML model (score 63/100 on cost/progress/payment behaviour) | Delayed by 667 days beyond planned completion | Utilisation irregularity: 141% of funds used vs 79% physical work done | Possible duplicate/overlapping work found (duplicate risk 97/100)
WRK00169,Irrigation Canal at District_3 Sector 3,Irrigation Canal,District_3,4833874.82,4111410.8720452883,8.845202682529914,85.05414445228203,85.05414445228203,-14.945855547717969,76.20894176975212,758,0.0,464818.16410670854,90.4,1,61.1,100.0,91.45073012370254,71.44103569458268,69.4,High,"Anomaly pattern detected by ML model (score 90/100 on cost/progress/payment behaviour) | Delayed by 758 days beyond planned completion | Utilisation irregularity: 85% of funds used vs 9% physical work done | Fund diversion signal: financial progress (85%) far ahead of physical progress (9%), payment irregularity 0/100"
WRK00183,Road Construction at District_2 Sector 37,Road Construction,District_2,5503431.91,4600361.849028523,19.38505981415903,83.59078342859925,83.59078342859925,-16.409216571400755,64.20572361444022,904,57.68000000000001,237314.81321859919,88.4,1,63.9,100.0,77.04686833732826,73.6989550230488,67.4,High,"Anomaly pattern detected by ML model (score 88/100 on cost/progress/payment behaviour) | Delayed by 904 days beyond planned completion | Utilisation irregularity: 84% of funds used vs 19% physical work done | Fund diversion signal: financial progress (84%) far ahead of physical progress (19%), payment irregularity 58/100"
WRK00440,Bridge at District_2 Sector 30,Bridge,District_2,5164021.28,8215454.000704333,87.8,100.0,159.0902429570223,59.0902429570223,12.200000000000003,1124,3.6,93570.09112419514,79.6,1,0.0,100.0,100.0,12.766683186552783,65.7,High,Anomaly pattern detected by ML model (score 80/100 on cost/progress/payment behaviour) | Delayed by 1124 days beyond planned completion | Utilisation irregularity: 159% of funds used vs 88% physical work done | Cost overrun of 59% vs sanctioned amount
WRK00375,Anganwadi Center at District_6 Sector 36,Anganwadi Center,District_6,8348055.01,6319708.949408877,7.470125146785507,75.70277078719054,75.70277078719054,-24.297229212809455,68.23264564040504,904,6.56,845997.7343389395,100.0,1,0.0,100.0,81.87917476848604,68.35303580727341,62.5,High,"Anomaly pattern detected by ML model (score 100/100 on cost/progress/payment behaviour) | Delayed by 904 days beyond planned completion | Utilisation irregularity: 76% of funds used vs 7% physical work done | Fund diversion signal: financial progress (76%) far ahead of physical progress (7%), payment irregularity 7/100"
WRK00501,Anganwadi Center at District_4 Sector 31,Anganwadi Center,District_4,5421649.54,5275052.729490463,18.557760510406514,97.29608471687497,97.29608471687497,-2.70391528312502,78.73832420646846,1138,4.480000000000001,284250.5013755515,86.4,1,0.0,100.0,94.48598904776215,67.14158952505478,60.8,High,"Anomaly pattern detected by ML model (score 86/100 on cost/progress/payment behaviour) | Delayed by 1138 days beyond planned completion | Utilisation irregularity: 97% of funds used vs 19% physical work done | Fund diversion signal: financial progress (97%) far ahead of physical progress (19%), payment irregularity 4/100"
WRK00227,Drainage at District_12 Sector 15,Drainage,District_12,5726238.88,10125281.362507656,100.0,100.0,176.82254573542446,76.82254573542444,0.0,0,0.0,101252.81362507657,88.3,1,0.0,0.0,100.0,3.64048923440306,55.6,Medium,Anomaly pattern detected by ML model (score 88/100 on cost/progress/payment behaviour) | Cost overrun of 77% vs sanctioned amount | Utilisation irregularity: 177% of funds used vs 100% physical work done
WRK00361,Water Supply at District_8 Sector 2,Water Supply,District_8,560093.75,468596.26933440525,18.83842951204835,83.66389900519427,83.66389900519427,-16.336100994805737,64.82546949314592,1021,0.0,24874.486964781685,47.0,1,70.3,100.0,77.7905633917751,43.7571919078735,53.4,Medium,Delayed by 1021 days beyond planned completion | Anomaly pattern detected by ML model (score 47/100 on cost/progress/payment behaviour) | Utilisation irregularity: 84% of funds used vs 19% physical work done | Possible duplicate/overlapping work found (duplicate risk 70/100)
WRK00338,Community Hall at District_4 Sector 30,Community Hall,District_4,3022269.91,2656730.629953438,20.850230186335246,87.90514113788856,87.90514113788856,-12.094858862111431,67.05491095155332,43,0.0,127419.72660304715,76.6,1,62.1,11.78082191780822,80.46589314186399,50.15868641037317,48.0,Medium,"Anomaly pattern detected by ML model (score 77/100 on cost/progress/payment behaviour) | Utilisation irregularity: 88% of funds used vs 21% physical work done | Fund diversion signal: financial progress (88%) far ahead of physical progress (21%), payment irregularity 0/100 | Possible duplicate/overlapping work found (duplicate risk 62/100)"
WRK00089,Irrigation Canal at District_12 Sector 6,Irrigation Canal,District_12,3241710.62,1796427.99,50.2,57.6,55.41605036911037,-44.583949630889634,7.399999999999999,1036,99.98482088937631,35785.41812749004,68.0,1,71.1,100.0,8.879999999999997,40.487440179280036,47.9,Medium,"Anomaly pattern detected by ML model (score 68/100 on cost/progress/payment behaviour) | Delayed by 1036 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 71/100) | Fund diversion signal: financial progress (58%) far ahead of physical progress (50%), payment irregularity 100/100"
WRK00379_DUP,Irrigation Canal at District_12 Sector 25 Phase,Irrigation Canal,District_12,6116919.829282967,2723731.43,44.8,47.3,44.527826193845655,-55.472173806154345,2.5,1124,67.6,60797.576562500006,58.6,1,96.2,100.0,3.0,27.04595161763593,45.7,Medium,"Delayed by 1124 days beyond planned completion | Anomaly pattern detected by ML model (score 59/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 96/100) | Fund diversion signal: financial progress (47%) far ahead of physical progress (45%), payment irregularity 68/100"
WRK00379,Irrigation Canal at District_12 Sector 25,Irrigation Canal,District_12,5830796.06,2723731.43,44.8,47.3,46.71285707770064,-53.28714292229936,2.5,1124,67.6,60797.576562500006,57.3,1,96.2,100.0,3.0,27.04595161763593,45.4,Medium,"Delayed by 1124 days beyond planned completion | Anomaly pattern detected by ML model (score 57/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 96/100) | Fund diversion signal: financial progress (47%) far ahead of physical progress (45%), payment irregularity 68/100"
WRK00372,Irrigation Canal at District_6 Sector 25,Irrigation Canal,District_6,4015811.62,3159710.23,86.3,81.1,78.68173432896238,-21.31826567103763,-5.200000000000003,846,99.45687513105727,36613.09652375435,67.9,1,65.3,100.0,0.0,35.3473915371491,45.1,Medium,"Anomaly pattern detected by ML model (score 68/100 on cost/progress/payment behaviour) | Delayed by 846 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 65/100) | Fund diversion signal: financial progress (81%) far ahead of physical progress (86%), payment irregularity 99/100"
WRK00330,Road Construction at District_11 Sector 14,Road Construction,District_11,10435227.47,10907198.1,84.4,100.0,104.52285904985644,4.522859049856428,15.599999999999994,1023,11.680000000000001,129232.2049763033,54.7,1,68.0,100.0,27.765718099712863,19.60162882382833,45.0,Medium,Delayed by 1023 days beyond planned completion | Anomaly pattern detected by ML model (score 55/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 68/100) | Utilisation irregularity: 105% of funds used vs 84% physical work done
WRK00307,Drainage at District_4 Sector 29,Drainage,District_4,438547.72,215679.1,46.7,47.2,49.18030357106862,-50.81969642893138,0.5,953,90.52766001867535,4618.396145610278,66.2,1,68.3,100.0,0.6,32.02218100653637,44.6,Medium,"Anomaly pattern detected by ML model (score 66/100 on cost/progress/payment behaviour) | Delayed by 953 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 68/100) | Fund diversion signal: financial progress (47%) far ahead of physical progress (47%), payment irregularity 91/100"
WRK00130,Irrigation Canal at District_4 Sector 16,Irrigation Canal,District_4,2772236.14,2658734.98,90.2,100.0,95.9057903342967,-4.094209665703303,9.799999999999997,661,57.84,29475.997560975607,57.6,1,76.4,100.0,11.759999999999996,27.053871635063715,44.4,Medium,"Delayed by 661 days beyond planned completion | Anomaly pattern detected by ML model (score 58/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 76/100) | Fund diversion signal: financial progress (100%) far ahead of physical progress (90%), payment irregularity 58/100"
WRK00046,Water Supply at District_1 Sector 39,Water Supply,District_1,8768064.5,1030132.35,34.9,11.2,11.74868581315751,-88.25131418684249,-23.7,958,95.57623701233378,29516.68624641834,96.7,1,0.0,100.0,0.0,33.648507833594245,44.2,Medium,"Anomaly pattern detected by ML model (score 97/100 on cost/progress/payment behaviour) | Delayed by 958 days beyond planned completion | Fund diversion signal: financial progress (11%) far ahead of physical progress (35%), payment irregularity 96/100"
WRK00498,Anganwadi Center at District_6 Sector 27,Anganwadi Center,District_6,888048.71,610562.87,64.2,69.9,68.75330858821923,-31.246691411780773,5.700000000000003,944,91.18091512944056,9510.32507788162,60.2,1,65.0,100.0,6.840000000000003,35.7608202953042,44.2,Medium,"Anomaly pattern detected by ML model (score 60/100 on cost/progress/payment behaviour) | Delayed by 944 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 65/100) | Fund diversion signal: financial progress (70%) far ahead of physical progress (64%), payment irregularity 91/100"
WRK00272,Drainage at District_4 Sector 28,Drainage,District_4,11949529.91,6611443.14,65.6,52.8,55.32806051614795,-44.67193948385205,-12.799999999999997,1105,56.239999999999995,100784.19420731708,59.4,1,71.1,100.0,0.0,23.301993345037022,41.9,Medium,"Delayed by 1105 days beyond planned completion | Anomaly pattern detected by ML model (score 59/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 71/100) | Fund diversion signal: financial progress (53%) far ahead of physical progress (66%), payment irregularity 56/100"
WRK00022,Irrigation Canal at District_10 Sector 32,Irrigation Canal,District_10,616872.66,566951.51,100.0,89.7,91.90738166285405,-8.092618337145955,-10.299999999999997,968,63.28,5669.5151000000005,58.1,1,68.3,100.0,0.0,22.148,41.0,Medium,"Delayed by 968 days beyond planned completion | Anomaly pattern detected by ML model (score 58/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 68/100) | Fund diversion signal: financial progress (90%) far ahead of physical progress (100%), payment irregularity 63/100"
WRK00332,Community Hall at District_12 Sector 23,Community Hall,District_12,5675232.94,3245579.01,47.3,55.7,57.18847216163782,-42.81152783836218,8.400000000000006,846,56.160000000000004,68616.89238900635,45.1,0,73.2,100.0,10.080000000000007,27.399814773930604,40.7,Medium,"Delayed by 846 days beyond planned completion | Anomaly pattern detected by ML model (score 45/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 73/100) | Fund diversion signal: financial progress (56%) far ahead of physical progress (47%), payment irregularity 56/100"
WRK00012,Irrigation Canal at District_12 Sector 18,Irrigation Canal,District_12,1279279.61,996191.12,71.3,78.0,77.8712575587756,-22.128742441224407,6.700000000000003,1123,63.28,13971.824964936886,51.0,1,62.4,100.0,8.040000000000003,26.670500000000004,40.4,Medium,"Delayed by 1123 days beyond planned completion | Anomaly pattern detected by ML model (score 51/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 62/100) | Fund diversion signal: financial progress (78%) far ahead of physical progress (71%), payment irregularity 63/100"
WRK00196,Anganwadi Center at District_6 Sector 14,Anganwadi Center,District_6,8849892.61,8253777.92,90.2,89.4,93.26415905514588,-6.735840944854127,-0.7999999999999972,930,61.6,91505.29844789357,56.7,1,61.6,100.0,0.0,24.732563632711077,40.3,Medium,"Delayed by 930 days beyond planned completion | Anomaly pattern detected by ML model (score 57/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 62/100) | Fund diversion signal: financial progress (89%) far ahead of physical progress (90%), payment irregularity 62/100"
WRK00383,Drainage at District_9 Sector 31,Drainage,District_9,3070920.86,2715496.93,89.1,89.7,88.42614491862875,-11.573855081371251,0.6000000000000085,784,58.88,30476.957687991024,46.7,0,82.5,100.0,0.7200000000000102,21.25592232913186,39.9,Low,"Delayed by 784 days beyond planned completion | Anomaly pattern detected by ML model (score 47/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 82/100) | Fund diversion signal: financial progress (90%) far ahead of physical progress (89%), payment irregularity 59/100"
WRK00408,Community Hall at District_6 Sector 35,Community Hall,District_6,11620536.19,10930927.84,76.8,96.6,94.06560645115981,-5.93439354884019,19.799999999999997,756,0.0,142329.78958333333,36.4,0,71.5,100.0,23.759999999999994,18.977373180369803,39.1,Low,Delayed by 756 days beyond planned completion | Anomaly pattern detected by ML model (score 36/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 72/100) | Utilisation irregularity: 94% of funds used vs 77% physical work done
WRK00524,Anganwadi Center at District_5 Sector 31,Anganwadi Center,District_5,1031137.68,554328.89,49.1,56.0,53.75895971525354,-46.24104028474646,6.899999999999999,936,60.56,11289.794093686354,43.9,0,66.7,100.0,8.279999999999998,25.853499999999997,39.1,Low,"Delayed by 936 days beyond planned completion | Anomaly pattern detected by ML model (score 44/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 67/100) | Fund diversion signal: financial progress (56%) far ahead of physical progress (49%), payment irregularity 61/100"
WRK00099,Drainage at District_9 Sector 25,Drainage,District_9,2240738.53,2337740.28,91.4,100.0,104.32900799005765,4.329007990057636,8.599999999999994,471,11.52,25577.02713347921,42.6,0,60.9,100.0,18.978015980115288,9.844703105433092,38.3,Low,Delayed by 471 days beyond planned completion | Anomaly pattern detected by ML model (score 43/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 61/100) | Utilisation irregularity: 104% of funds used vs 91% physical work done
WRK00314,Anganwadi Center at District_5 Sector 24,Anganwadi Center,District_5,2897719.74,2950276.47,100.0,100.0,101.81372716189591,1.8137271618959248,0.0,17,100.0,29502.764700000003,91.0,1,69.3,4.657534246575342,3.6274543237918238,35.19615658096079,38.0,Low,"Anomaly pattern detected by ML model (score 91/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 69/100) | Fund diversion signal: financial progress (100%) far ahead of physical progress (100%), payment irregularity 100/100"
WRK00271,Drainage at District_9 Sector 13,Drainage,District_9,9173361.33,0.0,14.7,0.0,0.0,-100.0,-14.7,943,0.8800000000000012,0.0,58.9,1,68.3,100.0,0.0,0.3080000000000004,38.0,Low,Delayed by 943 days beyond planned completion | Anomaly pattern detected by ML model (score 59/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 68/100)
WRK00273,School Building at District_1 Sector 36,School Building,District_1,631070.1,416591.76,71.4,65.1,66.01354746485374,-33.98645253514625,-6.300000000000011,690,58.400000000000006,5834.618487394958,44.8,0,71.6,100.0,0.0,20.44,37.9,Low,"Delayed by 690 days beyond planned completion | Anomaly pattern detected by ML model (score 45/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 72/100) | Fund diversion signal: financial progress (65%) far ahead of physical progress (71%), payment irregularity 58/100"
WRK00551,School Building at District_8 Sector 14,School Building,District_8,4815895.03,474780.58,5.3,9.6,9.858615626844342,-90.14138437315566,4.3,613,0.0,89581.24150943397,53.0,1,64.1,100.0,5.159999999999999,5.982700042169994,37.6,Low,Delayed by 613 days beyond planned completion | Anomaly pattern detected by ML model (score 53/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 64/100)
WRK00139_DUP,Drainage at District_11 Sec 15,Drainage,District_11,1059327.6481598653,121280.39,25.1,11.6,11.44880813888635,-88.55119186111365,-13.500000000000002,981,0.0,4831.888047808765,43.6,0,97.2,100.0,0.0,0.0,37.6,Low,Delayed by 981 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 97/100) | Anomaly pattern detected by ML model (score 44/100 on cost/progress/payment behaviour)
WRK00250,Bridge at District_4 Sector 39,Bridge,District_4,6337394.54,5832954.94,100.0,89.9,92.04026833399583,-7.959731666004174,-10.099999999999994,10,96.6999466420285,58329.5494,93.6,1,70.5,2.73972602739726,0.0,35.42495627685599,37.6,Low,"Anomaly pattern detected by ML model (score 94/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 70/100) | Fund diversion signal: financial progress (90%) far ahead of physical progress (100%), payment irregularity 97/100"
WRK00139,Drainage at District_11 Sector 15,Drainage,District_11,1019410.85,121280.39,25.1,11.6,11.897106058857428,-88.10289394114257,-13.500000000000002,981,0.0,4831.888047808765,43.1,0,97.2,100.0,0.0,0.0,37.4,Low,Delayed by 981 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 97/100) | Anomaly pattern detected by ML model (score 43/100 on cost/progress/payment behaviour)
WRK00540,Community Hall at District_9 Sector 5,Community Hall,District_9,8664630.25,7784027.39,80.7,93.1,89.8368097126822,-10.163190287317803,12.399999999999991,670,7.2,96456.34931846344,25.3,0,97.3,100.0,14.879999999999988,14.300236866915622,37.4,Low,Delayed by 670 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 97/100) | Anomaly pattern detected by ML model (score 25/100 on cost/progress/payment behaviour) | Utilisation irregularity: 90% of funds used vs 81% physical work done
WRK00540_DUP,Community Hall at District_9 Sector 5 Phase,Community Hall,District_9,8695142.043623056,7784027.39,80.7,93.1,89.52156676622367,-10.478433233776329,12.399999999999991,670,7.2,96456.34931846344,25.0,0,97.3,100.0,14.879999999999988,14.300236866915622,37.3,Low,Delayed by 670 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 97/100) | Anomaly pattern detected by ML model (score 25/100 on cost/progress/payment behaviour) | Utilisation irregularity: 90% of funds used vs 81% physical work done
WRK00442,Drainage at District_10 Sector 8,Drainage,District_10,5577570.36,1859027.3,17.9,32.9,33.330414141113586,-66.66958585888642,15.0,894,0.0,103856.27374301678,36.7,0,66.5,100.0,18.0,13.890467305226677,36.9,Low,Delayed by 894 days beyond planned completion | Anomaly pattern detected by ML model (score 37/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 66/100) | Utilisation irregularity: 33% of funds used vs 18% physical work done
WRK00068,Road Construction at District_2 Sector 24,Road Construction,District_2,8156417.56,2305236.92,20.1,28.1,28.262860539474392,-71.73713946052561,8.0,1153,0.0,114688.4039800995,44.6,0,62.3,100.0,9.6,9.685459422875027,36.5,Low,Delayed by 1153 days beyond planned completion | Anomaly pattern detected by ML model (score 45/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 62/100)
WRK00236,Bridge at District_9 Sector 15,Bridge,District_9,11150759.85,4436004.19,48.7,41.0,39.782079873238416,-60.217920126761584,-7.700000000000003,604,10.960000000000003,91088.381724846,35.1,0,94.7,100.0,0.0,6.98854971070723,36.2,Low,Delayed by 604 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 95/100) | Anomaly pattern detected by ML model (score 35/100 on cost/progress/payment behaviour)
WRK00409,Bridge at District_2 Sector 18,Bridge,District_2,1076881.05,787432.86,75.8,75.7,73.12161914261561,-26.878380857384393,-0.09999999999999432,960,59.44,10388.296306068602,37.1,0,73.0,100.0,0.0,20.804,36.2,Low,"Delayed by 960 days beyond planned completion | Anomaly pattern detected by ML model (score 37/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 73/100) | Fund diversion signal: financial progress (76%) far ahead of physical progress (76%), payment irregularity 59/100"
WRK00207,Water Supply at District_11 Sector 30,Water Supply,District_11,2747709.85,303541.68,17.5,11.2,11.047079079328553,-88.95292092067145,-6.300000000000001,852,0.0,17345.238857142856,38.6,0,95.3,100.0,0.0,0.0,36.1,Low,Delayed by 852 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 95/100) | Anomaly pattern detected by ML model (score 39/100 on cost/progress/payment behaviour)
WRK00492,Anganwadi Center at District_5 Sector 26,Anganwadi Center,District_5,1240262.49,1011849.92,67.8,83.1,81.58352995098643,-18.416470049013572,15.299999999999997,810,15.92,14924.040117994102,27.0,0,74.9,100.0,18.359999999999996,15.8995,35.9,Low,Delayed by 810 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 75/100) | Anomaly pattern detected by ML model (score 27/100 on cost/progress/payment behaviour) | Utilisation irregularity: 82% of funds used vs 68% physical work done
WRK00207_DUP,Water Supply at District_11 Sector 30 Phase,Water Supply,District_11,2557798.8216816117,303541.68,17.5,11.2,11.867300798912641,-88.13269920108735,-6.300000000000001,852,0.0,17345.238857142856,38.0,0,95.3,100.0,0.0,0.0,35.9,Low,Delayed by 852 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 95/100) | Anomaly pattern detected by ML model (score 38/100 on cost/progress/payment behaviour)
WRK00236_DUP,Bridge at District_9 Sector 15 Phase,Bridge,District_9,10346810.59199503,4436004.19,48.7,41.0,42.87315545750865,-57.12684454249135,-7.700000000000003,604,10.960000000000003,91088.381724846,33.0,0,94.7,100.0,0.0,6.98854971070723,35.7,Low,Delayed by 604 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 95/100) | Anomaly pattern detected by ML model (score 33/100 on cost/progress/payment behaviour)
WRK00461,Irrigation Canal at District_1 Sector 6,Irrigation Canal,District_1,1217472.21,137485.63,12.5,11.6,11.292711970813691,-88.70728802918632,-0.9000000000000004,1074,6.56,10998.850400000001,47.7,1,70.3,100.0,0.0,2.296,35.7,Low,Delayed by 1074 days beyond planned completion | Anomaly pattern detected by ML model (score 48/100 on cost/progress/payment behaviour) | Possible duplicate/overlapping work found (duplicate risk 70/100)
WRK00111,Water Supply at District_2 Sector 17,Water Supply,District_2,4800993.01,3078325.99,47.4,65.7,64.1185268045204,-35.88147319547961,18.300000000000004,727,7.119999999999999,64943.58628691984,22.0,0,75.5,100.0,21.960000000000004,16.741979170776982,35.4,Low,Delayed by 727 days beyond planned completion | Possible duplicate/overlapping work found (duplicate risk 76/100) | Anomaly pattern detected by ML model (score 22/100 on cost/progress/payment behaviour) | Utilisation irregularity: 64% of funds used vs 47% physical work done
