work_id,work_name,work_type,state,district,constituency,lat,lon,sanctioned_amount,expenditure,physical_progress_pct,financial_progress_pct,start_date,end_date,actual_end_date,num_payment_txns,max_single_txn_pct_of_sanctioned,vendor_id,is_fraud_label
WRK02291,Anganwadi Centre - Thiruvananthapuram Urban,Anganwadi Centre,Kerala,Thiruvananthapuram,Thiruvananthapuram Urban,11.8898,76.8604,518382,368051,64,71,2023-08-13,2024-01-01,,3,30.9,VEND022,0
WRK00421,Streetlight Installation - Ludhiana West,Streetlight Installation,Punjab,Ludhiana,Ludhiana West,30.6333,75.0528,11769548,9415638,86,80,2023-09-18,2024-12-18,,4,15.0,VEND206,0
WRK02474,Irrigation Canal - Madurai Central,Irrigation Canal,Tamil Nadu,Madurai,Madurai Central,9.9495,79.7096,1620840,1539798,92,95,2022-05-11,2023-01-12,,3,50.3,VEND381,1
WRK01399,Health Sub-Centre - Rajkot Urban,Health Sub-Centre,Gujarat,Rajkot,Rajkot Urban,22.004,70.9665,4136074,1902594,41,46,2023-07-05,2024-01-09,,8,43.5,VEND385,0
WRK01360,Community Hall - Bhubaneswar Rural,Community Hall,Odisha,Bhubaneswar,Bhubaneswar Rural,20.506,85.2762,17585991,12310193,77,70,2022-09-13,2023-12-04,,4,44.4,VEND070,0
WRK01240,Drainage Project - Mysuru South,Drainage Project,Karnataka,Mysuru,Mysuru South,16.0115,76.2747,3196035,2269184,73,71,2022-08-26,2023-09-27,,4,34.6,VEND039,0
WRK01051,Drainage Project - Agra Central,Drainage Project,Uttar Pradesh,Agra,Agra Central,26.6234,81.0155,14955594,6131793,46,41,2023-02-22,2024-07-20,,8,27.6,VEND273,0
WRK03501,School Building - Siliguri Urban,School Building,West Bengal,Siliguri,Siliguri Urban,21.8735,88.3871,4328079,129842,4,3,2024-06-09,2025-09-26,,3,41.8,VEND178,0
WRK00558,Irrigation Canal - Salem West,Irrigation Canal,Tamil Nadu,Salem,Salem West,11.9981,77.4005,978822,283858,25,29,2022-11-01,2023-03-04,,4,40.4,VEND292,0
WRK03196,Community Hall - Howrah Central,Community Hall,West Bengal,Howrah,Howrah Central,23.3325,87.3016,1071104,653373,61,61,2023-07-11,2023-12-31,,10,44.5,VEND093,0
WRK00352,Irrigation Canal - Gurugram Rural,Irrigation Canal,Haryana,Gurugram,Gurugram Rural,28.1141,77.1276,1953619,1855938,88,95,2023-01-16,2023-12-15,,5,17.2,VEND328,0
WRK00231,Irrigation Canal - Rourkela Urban,Irrigation Canal,Odisha,Rourkela,Rourkela Urban,21.6936,84.6285,19489012,19489012,99,100,2022-04-12,2023-06-30,,3,20.7,VEND022,0
WRK02514,Water Supply Scheme - Kozhikode Rural,Water Supply Scheme,Kerala,Kozhikode,Kozhikode Rural,9.884,77.3915,3388016,609842,18,18,2022-12-03,2024-04-16,,5,17.4,VEND263,0
WRK02726,Anganwadi Centre - Gwalior South,Anganwadi Centre,Madhya Pradesh,Gwalior,Gwalior South,22.8592,79.1535,576409,328553,61,57,2023-07-08,2023-11-19,,4,26.8,VEND116,0
WRK01433,Road Construction - Bhubaneswar Rural,Road Construction,Odisha,Bhubaneswar,Bhubaneswar Rural,22.0545,85.3883,5324464,4738772,93,89,2023-07-26,2024-03-13,,5,35.8,VEND350,0
WRK01509,Health Sub-Centre - Patna Urban,Health Sub-Centre,Bihar,Patna,Patna Urban,24.896,84.4225,9061518,9061518,99,100,2024-01-06,2024-05-15,,6,27.2,VEND203,0
WRK00702,Anganwadi Centre - Kozhikode East,Anganwadi Centre,Kerala,Kozhikode,Kozhikode East,11.9792,76.3068,7570178,2271053,29,30,2023-09-16,2025-01-15,,4,43.2,VEND209,0
WRK00350,Health Sub-Centre - Nashik South,Health Sub-Centre,Maharashtra,Nashik,Nashik South,18.7286,76.0651,23755298,13065413,56,55,2023-10-19,2024-05-10,,12,11.4,VEND052,0
WRK01697,Streetlight Installation - Muzaffarpur Rural,Streetlight Installation,Bihar,Muzaffarpur,Muzaffarpur Rural,26.0341,85.5789,2566077,487554,17,19,2023-02-13,2024-01-04,,12,12.4,VEND015,0
WRK00281,Road Construction - Rajkot Urban,Road Construction,Gujarat,Rajkot,Rajkot Urban,22.6704,70.2694,1779552,1014344,61,57,2024-01-22,2024-07-29,,10,41.2,VEND275,0
WRK01490,Community Hall - Silchar West,Community Hall,Assam,Silchar,Silchar West,25.7341,92.8595,13043782,12913344,99,99,2022-07-16,2023-04-20,,4,26.2,VEND021,0
WRK00631,Community Hall - Prayagraj North,Community Hall,Uttar Pradesh,Prayagraj,Prayagraj North,27.5021,80.8075,9580550,5556719,56,58,2024-04-12,2025-06-12,,5,19.7,VEND330,0
WRK00746,Road Construction - Madurai Urban,Road Construction,Tamil Nadu,Madurai,Madurai Urban,10.453,77.4035,3560214,35602,5,1,2024-05-21,2025-08-13,,6,37.0,VEND138,0
WRK02875,Health Sub-Centre - Gaya North,Health Sub-Centre,Bihar,Gaya,Gaya North,26.0401,83.9746,5058206,4957041,99,98,2023-11-14,2025-05-01,,11,37.0,VEND300,0
WRK02829,Anganwadi Centre - Silchar Central,Anganwadi Centre,Assam,Silchar,Silchar Central,25.6061,92.5935,550995,253457,42,46,2024-08-02,2026-01-13,,5,30.8,VEND086,0
WRK01165,Community Hall - Nagpur Urban,Community Hall,Maharashtra,Nagpur,Nagpur Urban,19.5236,75.977,10892286,7624600,74,70,2024-06-23,2025-07-23,,4,44.3,VEND260,0
WRK03192,Community Hall - Vellore Rural,Community Hall,Tamil Nadu,Vellore,Vellore Rural,10.2592,77.9432,1148455,918764,88,80,2024-01-27,2024-10-13,,3,41.0,VEND076,0
WRK00774,Anganwadi Centre - Ludhiana East,Anganwadi Centre,Punjab,Ludhiana,Ludhiana East,31.781,74.7858,21483551,4296710,12,20,2024-04-29,2025-05-11,,5,10.8,VEND196,0
WRK01768,Water Supply Scheme - Bhubaneswar Rural,Water Supply Scheme,Odisha,Bhubaneswar,Bhubaneswar Rural,20.33,83.9256,454816,368400,85,81,2022-04-01,2022-09-10,,5,25.3,VEND161,0
WRK03392,Drainage Project - Bhagalpur East,Drainage Project,Bihar,Bhagalpur,Bhagalpur East,26.3647,86.2402,446985,31288,3,7,2023-11-01,2024-08-27,,3,30.7,VEND379,0
WRK02127,School Building - Siliguri North,School Building,West Bengal,Siliguri,Siliguri North,23.7586,87.788,8738604,0,2,0,2022-04-04,2023-01-15,,7,41.9,VEND216,0
WRK03287,Community Hall - Warangal Rural,Community Hall,Telangana,Warangal,Warangal Rural,17.6012,78.5658,11787085,7779476,67,66,2023-05-05,2024-10-14,,11,22.9,VEND029,0
WRK03929,Water Supply Scheme - Gaya Rural,Water Supply Scheme,Bihar,Gaya,Gaya Rural,25.1577,86.0909,8080562,6787672,83,84,2023-04-24,2024-01-28,,4,28.4,VEND067,0
WRK01795,Road Construction - Patna Rural,Road Construction,Bihar,Patna,Patna Rural,26.6342,84.5712,1083650,455133,43,42,2024-05-08,2025-10-05,,10,28.7,VEND359,0
WRK02668,School Building - Jodhpur Urban,School Building,Rajasthan,Jodhpur,Jodhpur Urban,28.176,74.5839,13722913,13722913,15,100,2022-05-10,2023-08-24,,5,44.7,VEND329,1
WRK02728,Public Toilet Complex - Kalaburagi Central,Public Toilet Complex,Karnataka,Kalaburagi,Kalaburagi Central,14.7217,74.6674,6717422,1477832,29,22,2024-06-19,2025-10-21,,9,33.6,VEND126,0
WRK00369,Drainage Project - Vellore Rural,Drainage Project,Tamil Nadu,Vellore,Vellore Rural,12.1343,79.0549,520121,260060,58,50,2022-09-13,2024-01-06,,10,26.2,VEND071,0
WRK00711,Road Construction - Darjeeling North,Road Construction,West Bengal,Darjeeling,Darjeeling North,22.1327,87.7006,1732599,467801,23,27,2023-03-25,2024-07-26,,8,10.3,VEND221,0
WRK00762,Road Construction - Nashik Rural,Road Construction,Maharashtra,Nashik,Nashik Rural,18.5605,76.5136,16785284,6714113,47,40,2024-03-13,2025-02-13,,4,33.2,VEND038,0
WRK00436,Streetlight Installation - Bikaner North,Streetlight Installation,Rajasthan,Bikaner,Bikaner North,27.4681,75.3608,1736531,1458686,86,84,2022-07-12,2023-10-28,,8,27.4,VEND392,0
WRK02396,Drainage Project - Indore Central,Drainage Project,Madhya Pradesh,Indore,Indore Central,22.3202,79.4967,14958174,5235360,35,35,2024-03-28,2025-09-19,,3,20.9,VEND261,0
WRK00997,Road Construction - Faridabad Central,Road Construction,Haryana,Faridabad,Faridabad Central,28.5598,75.4857,8100140,324005,4,4,2023-12-13,2024-08-28,,10,23.9,VEND357,0
WRK01414,School Building - Bengaluru Urban South,School Building,Karnataka,Bengaluru Urban,Bengaluru Urban South,16.2594,76.0082,566864,136047,30,24,2024-08-21,2024-12-20,,7,43.8,VEND059,0
WRK02559,Drainage Project - Jalandhar Central,Drainage Project,Punjab,Jalandhar,Jalandhar Central,29.9772,75.599,12041745,3612523,32,30,2022-08-08,2023-06-22,,6,44.7,VEND109,0
WRK02445,Water Supply Scheme - Pune East,Water Supply Scheme,Maharashtra,Pune,Pune East,18.8741,74.9955,7479160,2916872,38,39,2023-08-26,2024-07-15,,12,25.5,VEND003,0
WRK00958,Community Hall - Vadodara North,Community Hall,Gujarat,Vadodara,Vadodara North,22.0721,71.1036,14825761,14529245,97,98,2022-07-25,2023-12-13,,9,43.9,VEND167,0
WRK01271,Public Toilet Complex - Kanpur North,Public Toilet Complex,Uttar Pradesh,Kanpur,Kanpur North,27.6281,80.6481,404004,327243,82,81,2022-04-25,2022-09-18,,10,11.5,VEND113,0
WRK00588,School Building - Nizamabad Central,School Building,Telangana,Nizamabad,Nizamabad Central,17.6528,78.509,22545653,12851022,49,57,2022-09-19,2023-10-04,,8,27.5,VEND238,0
WRK01688,Public Toilet Complex - Gaya North,Public Toilet Complex,Bihar,Gaya,Gaya North,26.179,85.0589,1817852,799854,41,44,2023-11-15,2024-07-25,,12,12.0,VEND249,0
WRK02210,Irrigation Canal - Nashik Central,Irrigation Canal,Maharashtra,Nashik,Nashik Central,19.1611,75.1361,19971191,18772919,88,94,2022-05-13,2023-01-31,,5,16.9,VEND223,0
WRK01436,Drainage Project - Gwalior Central,Drainage Project,Madhya Pradesh,Gwalior,Gwalior Central,24.338,78.4777,9975916,7282418,78,73,2023-01-01,2023-09-05,,9,18.9,VEND310,0
WRK01910,Water Supply Scheme - Darjeeling Central,Water Supply Scheme,West Bengal,Darjeeling,Darjeeling Central,23.7293,88.0663,476706,138244,31,29,2022-12-10,2023-12-13,,10,30.1,VEND040,0
WRK01691,Health Sub-Centre - Rajkot North,Health Sub-Centre,Gujarat,Rajkot,Rajkot North,21.2802,70.2098,9278721,2783616,33,30,2024-06-17,2025-05-26,,3,38.7,VEND160,0
WRK00293,Health Sub-Centre - Belagavi Central,Health Sub-Centre,Karnataka,Belagavi,Belagavi Central,15.9065,74.8807,16233978,324679,6,2,2023-10-06,2024-09-17,,3,26.5,VEND346,0
WRK03444,Road Construction - Mangaluru Urban,Road Construction,Karnataka,Mangaluru,Mangaluru Urban,15.9118,75.0451,15755319,15755319,12,100,2023-02-09,2024-03-21,,4,65.0,VEND271,1
WRK00800,Anganwadi Centre - Silchar Rural,Anganwadi Centre,Assam,Silchar,Silchar Rural,25.12,93.8877,442881,372020,89,84,2024-01-10,2024-10-01,,4,38.2,VEND054,0
WRK01048,Water Supply Scheme - Aurangabad Central,Water Supply Scheme,Maharashtra,Aurangabad,Aurangabad Central,20.262,75.3192,23430876,18041774,72,77,2023-12-31,2024-10-26,,9,44.9,VEND012,0
WRK01222,Anganwadi Centre - Gurugram South,Anganwadi Centre,Haryana,Gurugram,Gurugram South,27.8238,76.6673,3586608,3012750,79,84,2022-07-31,2023-08-27,,5,29.7,VEND322,0
WRK00749,Road Construction - Siliguri North,Road Construction,West Bengal,Siliguri,Siliguri North,23.6603,87.0359,7698403,1077776,13,14,2024-07-23,2024-12-12,,4,27.9,VEND213,0
WRK02787,School Building - Kolkata East,School Building,West Bengal,Kolkata,Kolkata East,22.5659,88.0693,460549,331595,68,72,2022-11-08,2023-04-22,,9,11.1,VEND249,0
WRK03100,Health Sub-Centre - Howrah West,Health Sub-Centre,West Bengal,Howrah,Howrah West,22.413,87.6237,590831,401765,73,68,2024-07-05,2025-02-14,,9,36.9,VEND073,0
WRK01857,Streetlight Installation - Cuttack Urban,Streetlight Installation,Odisha,Cuttack,Cuttack Urban,20.3367,85.9695,410101,164040,40,40,2022-05-17,2023-03-18,,12,12.5,VEND090,0
WRK01039,School Building - Cuttack Rural,School Building,Odisha,Cuttack,Cuttack Rural,21.1477,85.0566,577982,69357,14,12,2024-08-04,2025-07-11,,12,19.1,VEND156,0
WRK01094,Streetlight Installation - Nizamabad West,Streetlight Installation,Telangana,Nizamabad,Nizamabad West,18.2558,78.4475,9659841,7824471,77,81,2022-12-12,2023-09-01,,3,13.6,VEND328,0
WRK00365,Streetlight Installation - Gwalior Urban,Streetlight Installation,Madhya Pradesh,Gwalior,Gwalior Urban,23.8162,79.7278,546165,535241,93,98,2023-01-11,2023-05-18,,6,18.7,VEND223,0
WRK02390,School Building - Rourkela North,School Building,Odisha,Rourkela,Rourkela North,20.4792,84.751,1689906,1199833,75,71,2022-05-19,2023-05-06,,6,26.8,VEND076,0
WRK00300,Public Toilet Complex - Hyderabad East,Public Toilet Complex,Telangana,Hyderabad,Hyderabad East,18.9493,79.9509,1178919,518724,38,44,2024-01-26,2024-06-30,,9,30.7,VEND123,0
WRK00399,Streetlight Installation - Darjeeling Rural,Streetlight Installation,West Bengal,Darjeeling,Darjeeling Rural,22.2646,88.6862,443347,381278,85,86,2022-08-06,2023-11-03,,9,16.3,VEND353,0
WRK02754,Anganwadi Centre - Bikaner Rural,Anganwadi Centre,Rajasthan,Bikaner,Bikaner Rural,27.3139,74.4101,39091493,37918748,90,97,2023-11-11,2024-11-29,,4,70.4,VEND009,1
WRK03891,Irrigation Canal - Kozhikode Central,Irrigation Canal,Kerala,Kozhikode,Kozhikode Central,11.4453,76.7251,2383322,2359488,100,99,2023-10-21,2024-10-17,2024-10-25,11,27.5,VEND235,0
WRK01859,Health Sub-Centre - Panipat East,Health Sub-Centre,Haryana,Panipat,Panipat East,28.257,76.4079,8978851,0,2,0,2023-06-13,2024-02-27,,12,35.2,VEND304,0
WRK01642,School Building - Warangal South,School Building,Telangana,Warangal,Warangal South,17.4464,80.4262,21882009,21444368,10,98,2024-03-21,2024-10-27,,3,54.0,VEND271,1
WRK00211,Water Supply Scheme - Surat Central,Water Supply Scheme,Gujarat,Surat,Surat Central,22.409,69.9788,1798581,845333,41,47,2023-10-09,2024-08-02,,7,40.4,VEND307,0
WRK00556,Health Sub-Centre - Madurai West,Health Sub-Centre,Tamil Nadu,Madurai,Madurai West,10.6295,78.9676,3445445,2928628,17,85,2022-10-15,2023-09-27,,4,67.2,VEND364,1
WRK01803,Health Sub-Centre - Bhubaneswar South,Health Sub-Centre,Odisha,Bhubaneswar,Bhubaneswar South,20.6193,85.5509,559057,5590,5,1,2024-04-05,2024-11-10,,11,13.3,VEND172,0
WRK00332,School Building - Tiruchirappalli Central,School Building,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,10.0923,79.5476,3116971,218187,11,7,2024-03-26,2024-09-23,,9,33.0,VEND332,0
WRK00900,Community Hall - Jaipur South,Community Hall,Rajasthan,Jaipur,Jaipur South,28.0579,74.8622,2817008,2676157,93,95,2023-10-13,2025-04-03,,3,18.2,VEND038,0
WRK02955,Road Construction - Aurangabad West,Road Construction,Maharashtra,Aurangabad,Aurangabad West,19.6551,75.5815,1045120,742035,73,71,2024-07-30,2025-04-13,,10,30.5,VEND259,0
WRK02605,Health Sub-Centre - Bhubaneswar South,Health Sub-Centre,Odisha,Bhubaneswar,Bhubaneswar South,20.7149,84.2503,4602451,1426759,27,31,2023-06-05,2024-09-02,,12,34.9,VEND103,0
WRK03316,Public Toilet Complex - Bhubaneswar Central,Public Toilet Complex,Odisha,Bhubaneswar,Bhubaneswar Central,20.1077,84.4847,21387366,13687914,64,64,2022-11-27,2023-08-13,,12,15.4,VEND356,0
WRK01035,School Building - Ludhiana Central,School Building,Punjab,Ludhiana,Ludhiana Central,31.9786,74.7947,5536010,442880,4,8,2023-04-01,2024-08-07,,6,16.1,VEND274,0
WRK03214,Public Toilet Complex - Gurugram Rural,Public Toilet Complex,Haryana,Gurugram,Gurugram Rural,28.511,75.7963,5359745,321584,4,6,2023-01-19,2024-01-03,,5,11.6,VEND041,0
WRK00417,Public Toilet Complex - Muzaffarpur South,Public Toilet Complex,Bihar,Muzaffarpur,Muzaffarpur South,25.9503,85.3966,1115160,178425,14,16,2022-11-20,2023-10-14,,4,26.3,VEND267,0
WRK03611,Health Sub-Centre - Dibrugarh West,Health Sub-Centre,Assam,Dibrugarh,Dibrugarh West,25.7283,93.5792,6450223,5031173,78,78,2023-06-02,2024-01-03,,6,17.0,VEND052,0
WRK03763,Health Sub-Centre - Chennai Central,Health Sub-Centre,Tamil Nadu,Chennai,Chennai Central,10.3888,78.9456,20589332,13794852,64,67,2023-07-13,2024-10-12,,12,14.0,VEND120,0
WRK03176,Streetlight Installation - Gurugram North,Streetlight Installation,Haryana,Gurugram,Gurugram North,30.0577,76.3923,22619847,4523969,13,20,2022-05-23,2023-11-11,,11,35.8,VEND015,0
WRK00137,Community Hall - Lucknow Rural,Community Hall,Uttar Pradesh,Lucknow,Lucknow Rural,27.2121,81.1835,12133108,6066554,46,50,2023-09-13,2025-02-19,,10,42.1,VEND024,0
WRK00162,Anganwadi Centre - Asansol East,Anganwadi Centre,West Bengal,Asansol,Asansol East,22.486,86.8874,468585,154633,25,33,2023-05-21,2024-07-14,,3,35.8,VEND036,0
WRK01958,Irrigation Canal - Mangaluru Central,Irrigation Canal,Karnataka,Mangaluru,Mangaluru Central,14.5804,75.267,1111602,0,2,0,2023-05-11,2024-05-13,,11,37.4,VEND235,0
WRK00725,Health Sub-Centre - Cuttack South,Health Sub-Centre,Odisha,Cuttack,Cuttack South,19.7011,85.9633,7673077,0,5,0,2022-05-19,2022-12-18,,3,33.1,VEND165,0
WRK00390,Health Sub-Centre - Guwahati West,Health Sub-Centre,Assam,Guwahati,Guwahati West,25.4355,92.9604,9181113,459055,7,5,2022-07-04,2023-04-17,,12,28.4,VEND393,0
WRK03727,Drainage Project - Mangaluru Rural,Drainage Project,Karnataka,Mangaluru,Mangaluru Rural,14.7168,75.477,8165079,6532063,84,80,2024-02-27,2025-07-03,,10,35.5,VEND271,0
WRK03710,Irrigation Canal - Kochi Rural,Irrigation Canal,Kerala,Kochi,Kochi Rural,11.6881,76.791,13466636,12658637,18,94,2023-04-13,2023-09-10,,2,47.3,VEND099,1
WRK02934,Anganwadi Centre - Bhubaneswar North,Anganwadi Centre,Odisha,Bhubaneswar,Bhubaneswar North,20.0422,85.1361,19139615,7655846,32,40,2024-08-30,2025-05-12,,11,21.8,VEND273,0
WRK03476,Anganwadi Centre - Asansol East,Anganwadi Centre,West Bengal,Asansol,Asansol East,22.6502,88.324,11734097,10678028,17,91,2024-09-01,2025-08-08,,3,76.1,VEND101,1
WRK03074,Public Toilet Complex - Indore West,Public Toilet Complex,Madhya Pradesh,Indore,Indore West,24.5502,79.7036,9027654,8937377,23,99,2022-10-11,2023-07-20,,5,51.0,VEND125,1
WRK03919,Drainage Project - Warangal Central,Drainage Project,Telangana,Warangal,Warangal Central,17.2799,79.9602,2662258,2316164,30,87,2022-09-15,2023-01-29,,4,43.4,VEND139,1
WRK01564,Irrigation Canal - Gaya Urban,Irrigation Canal,Bihar,Gaya,Gaya Urban,24.9966,84.1969,8751229,6213372,64,71,2023-11-10,2024-10-18,,5,39.3,VEND067,0
WRK02028,Public Toilet Complex - Dibrugarh Central,Public Toilet Complex,Assam,Dibrugarh,Dibrugarh Central,27.257,92.3256,421160,151617,34,36,2023-07-10,2024-12-02,,8,13.9,VEND362,0
WRK00220,School Building - Mysuru Central,School Building,Karnataka,Mysuru,Mysuru Central,15.0618,75.8431,2618313,864043,29,33,2022-07-13,2023-11-16,,6,16.8,VEND337,0
WRK01570,Irrigation Canal - Solapur Central,Irrigation Canal,Maharashtra,Solapur,Solapur Central,20.6124,74.968,1048222,513628,50,49,2024-08-15,2025-04-29,,6,29.1,VEND294,0
WRK00124,Community Hall - Rourkela East,Community Hall,Odisha,Rourkela,Rourkela East,19.9562,84.6056,2956438,1803427,65,61,2023-05-28,2024-08-20,,5,16.4,VEND316,0
WRK01598,Irrigation Canal - Nashik South,Irrigation Canal,Maharashtra,Nashik,Nashik South,20.7075,74.7276,2192407,263088,18,12,2022-05-04,2023-02-14,,11,38.6,VEND343,0
WRK00367,Anganwadi Centre - Nizamabad North,Anganwadi Centre,Telangana,Nizamabad,Nizamabad North,18.2879,80.6487,897658,502688,61,56,2023-09-26,2024-08-12,,10,27.3,VEND043,0
WRK03560,Anganwadi Centre - Pune North,Anganwadi Centre,Maharashtra,Pune,Pune North,20.1846,75.5823,2337476,1379110,58,59,2023-10-15,2024-12-08,,8,38.1,VEND103,0
WRK01514,Streetlight Installation - Mangaluru Rural,Streetlight Installation,Karnataka,Mangaluru,Mangaluru Rural,15.805,75.5054,7622572,5107123,71,67,2023-06-09,2024-10-31,,12,17.4,VEND269,0
WRK03813,Drainage Project - Indore Central,Drainage Project,Madhya Pradesh,Indore,Indore Central,22.9949,78.3507,14538680,12067104,90,83,2022-10-01,2023-09-22,,5,43.7,VEND178,0
WRK01782,Water Supply Scheme - Bhagalpur East,Water Supply Scheme,Bihar,Bhagalpur,Bhagalpur East,25.6593,86.1889,919260,284970,36,31,2023-05-06,2023-12-06,,10,28.8,VEND095,0
WRK01520,Irrigation Canal - Patiala Urban,Irrigation Canal,Punjab,Patiala,Patiala Urban,31.6583,75.7433,2108211,1033023,48,49,2023-11-08,2025-04-24,,11,32.5,VEND389,0
WRK02834,Community Hall - Mysuru East,Community Hall,Karnataka,Mysuru,Mysuru East,15.4147,76.2839,1863633,819998,41,44,2022-06-23,2023-06-22,,8,31.0,VEND082,0
WRK01965,Public Toilet Complex - Lucknow Central,Public Toilet Complex,Uttar Pradesh,Lucknow,Lucknow Central,25.7766,79.8282,1737957,295452,24,17,2023-11-08,2024-12-16,,8,26.9,VEND342,0
WRK02772,Drainage Project - Vadodara North,Drainage Project,Gujarat,Vadodara,Vadodara North,23.1358,71.4621,2446110,1614432,61,66,2022-09-01,2023-01-10,,10,22.4,VEND158,0
WRK00491,Anganwadi Centre - Thiruvananthapuram Central,Anganwadi Centre,Kerala,Thiruvananthapuram,Thiruvananthapuram Central,10.5656,77.0982,1651882,974610,59,59,2023-05-28,2023-11-12,,8,18.9,VEND042,0
WRK03535,Water Supply Scheme - Nizamabad Urban,Water Supply Scheme,Telangana,Nizamabad,Nizamabad Urban,16.7279,80.6182,17017632,13784281,76,81,2024-05-19,2025-05-27,,9,18.4,VEND305,0
WRK03134,Streetlight Installation - Nizamabad Urban,Streetlight Installation,Telangana,Nizamabad,Nizamabad Urban,16.779,79.7523,8094682,809468,12,10,2023-07-21,2024-06-03,,8,33.0,VEND329,0
WRK01460,School Building - Bhubaneswar North,School Building,Odisha,Bhubaneswar,Bhubaneswar North,21.055,84.4056,1807169,36143,2,2,2024-01-03,2025-02-18,,6,16.0,VEND081,0
WRK01960,Public Toilet Complex - Gorakhpur Central,Public Toilet Complex,Uttar Pradesh,Gorakhpur,Gorakhpur Central,27.408,81.4192,21138225,4016262,14,19,2024-08-15,2025-05-16,,10,18.5,VEND235,0
WRK02767,Community Hall - Gurugram West,Community Hall,Haryana,Gurugram,Gurugram West,29.5334,76.5329,853888,495255,57,58,2024-08-06,2025-02-05,,7,40.3,VEND237,0
WRK02701,Health Sub-Centre - Guwahati Urban,Health Sub-Centre,Assam,Guwahati,Guwahati Urban,27.2998,91.9184,8067676,7341585,95,91,2023-11-12,2024-06-11,,12,14.0,VEND330,0
WRK02820,Water Supply Scheme - Jalandhar West,Water Supply Scheme,Punjab,Jalandhar,Jalandhar West,30.0008,76.2765,1968261,1535243,71,78,2022-11-12,2023-11-30,,11,27.8,VEND262,0
WRK03233,Public Toilet Complex - Bhubaneswar South,Public Toilet Complex,Odisha,Bhubaneswar,Bhubaneswar South,20.0249,84.1736,21768168,21768168,97,100,2023-08-24,2024-02-06,,5,29.1,VEND127,0
WRK00903,Community Hall - Chennai North,Community Hall,Tamil Nadu,Chennai,Chennai North,10.4059,77.9505,2466267,986506,48,40,2023-09-30,2024-12-04,,11,26.9,VEND199,0
